time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),et0_fao_evapotranspiration (mm)
1677621600,0,8.3,-2.5,1.8,0.00,0.00,0.00,1.70
1677708000,1,11.7,-0.2,4.5,0.00,0.00,0.00,1.72
1677794400,1,9.2,-3.0,2.2,0.00,0.00,0.00,1.52
1677880800,51,3.6,-4.3,-0.2,0.10,0.10,0.00,0.76
1677967200,51,4.6,-1.6,1.6,0.30,0.30,0.00,0.89
1678053600,73,4.7,-2.0,1.4,0.70,0.20,0.35,0.97
1678140000,71,5.7,0.1,3.1,0.50,0.20,0.21,1.20
1678226400,75,8.7,1.8,4.5,15.70,12.90,1.96,0.83
1678312800,63,11.9,6.5,8.9,18.40,18.40,0.00,1.15
1678399200,63,11.9,3.8,8.3,12.20,12.20,0.00,1.49
1678485600,71,3.5,-0.5,1.4,0.60,0.20,0.28,1.37
1678572000,51,7.4,-4.1,1.6,0.50,0.50,0.00,0.56
1678658400,61,16.8,5.6,10.4,2.60,2.60,0.00,1.53
1678744800,73,12.7,2.8,8.8,12.60,11.90,0.49,1.26
1678831200,75,5.4,-2.8,2.0,4.70,2.30,1.68,0.99
1678917600,3,7.7,-3.8,2.0,0.00,0.00,0.00,1.82
1679004000,3,15.4,1.1,7.2,0.00,0.00,0.00,2.40
1679090400,2,16.8,2.6,9.2,0.00,0.00,0.00,2.37
1679176800,63,13.9,3.9,8.3,6.10,6.10,0.00,1.23
1679263200,53,11.3,3.6,7.9,1.50,1.50,0.00,1.12
1679349600,3,15.4,4.4,9.5,0.00,0.00,0.00,2.05
1679436000,3,16.8,3.9,10.2,0.00,0.00,0.00,2.42
1679522400,51,14.5,7.8,12.1,0.10,0.10,0.00,1.43
1679608800,61,14.7,9.8,12.1,6.30,6.30,0.00,1.48
1679695200,61,10.7,7.0,8.7,6.30,6.30,0.00,1.89
1679781600,61,10.7,4.5,7.4,3.40,3.40,0.00,1.28
1679868000,73,6.4,1.5,4.3,3.30,2.50,0.56,1.86
1679954400,71,7.4,-1.6,2.5,0.10,0.00,0.07,1.77
1680040800,51,13.3,1.4,7.5,0.20,0.20,0.00,1.73
1680127200,61,15.4,8.4,11.5,6.10,6.10,0.00,1.60
1680213600,61,13.7,7.0,10.0,7.30,7.30,0.00,1.60
1680300000,61,10.1,7.8,8.6,6.00,6.00,0.00,1.16
1680386400,55,7.8,1.4,5.9,8.60,8.60,0.00,0.84
1680472800,2,6.8,-0.1,2.9,0.00,0.00,0.00,2.22
1680559200,3,5.2,-2.4,1.7,0.00,0.00,0.00,1.84
1680645600,3,7.2,-3.7,2.1,0.00,0.00,0.00,1.92
1680732000,1,10.9,-3.0,3.6,0.00,0.00,0.00,2.55
1680818400,3,12.5,-2.3,4.8,0.00,0.00,0.00,1.83
1680904800,51,8.5,0.7,4.4,2.10,2.10,0.00,0.80
1680991200,3,13.0,2.0,7.5,0.00,0.00,0.00,2.37
1681077600,3,14.8,0.6,8.3,0.00,0.00,0.00,3.08
1681164000,61,12.3,3.4,9.0,5.70,5.70,0.00,2.35
1681250400,55,12.0,2.5,7.5,6.30,6.30,0.00,0.97
1681336800,53,11.0,4.2,7.6,2.30,2.30,0.00,1.95
1681423200,53,10.6,2.5,6.6,1.50,1.50,0.00,1.77
1681509600,55,8.2,4.3,6.1,7.20,7.20,0.00,0.68
1681596000,61,11.5,6.4,8.4,8.00,8.00,0.00,1.06
1681682400,51,11.7,6.1,9.1,1.60,1.60,0.00,2.01
1681768800,51,13.2,4.3,8.7,0.60,0.60,0.00,1.84
1681855200,61,11.8,3.1,7.3,1.90,1.90,0.00,2.17
1681941600,51,10.5,1.6,6.9,0.20,0.20,0.00,1.89
1682028000,51,18.8,6.1,12.2,0.10,0.10,0.00,3.24
1682114400,51,21.4,7.3,14.4,0.10,0.10,0.00,3.89
1682200800,53,17.1,10.5,13.6,2.10,2.10,0.00,2.51
1682287200,51,13.5,6.8,10.6,1.10,1.10,0.00,2.63
1682373600,53,11.3,4.6,7.6,1.80,1.80,0.00,2.17
1682460000,51,10.3,0.4,6.0,0.10,0.10,0.00,2.38
1682546400,3,14.2,0.6,7.9,0.00,0.00,0.00,2.82
1682632800,53,14.9,7.7,11.1,5.50,5.50,0.00,1.27
1682719200,55,15.4,8.9,12.5,2.40,2.40,0.00,2.31
1682805600,3,17.7,4.9,11.7,0.00,0.00,0.00,3.82
1682892000,61,13.7,7.4,10.9,2.30,2.30,0.00,2.32
1682978400,51,16.3,5.2,10.8,0.80,0.80,0.00,3.06
1683064800,3,17.3,4.2,10.8,0.00,0.00,0.00,3.69
1683151200,2,19.8,5.8,12.9,0.00,0.00,0.00,4.14
1683237600,61,22.2,8.1,14.3,5.30,5.30,0.00,3.32
1683324000,51,19.5,10.8,15.1,0.60,0.60,0.00,3.47
1683410400,3,21.5,10.8,15.8,0.00,0.00,0.00,4.18
1683496800,3,18.6,8.9,13.8,0.00,0.00,0.00,3.35
1683583200,3,20.4,9.3,14.9,0.00,0.00,0.00,4.52
1683669600,61,16.2,11.7,13.8,11.10,11.10,0.00,2.06
1683756000,61,12.2,10.4,11.3,12.20,12.20,0.00,0.87
1683842400,53,15.2,9.9,12.2,3.60,3.60,0.00,2.12
1683928800,51,15.6,8.5,12.2,0.30,0.30,0.00,2.62
1684015200,53,17.5,7.8,12.7,1.00,1.00,0.00,3.02
1684101600,61,18.4,8.1,13.0,3.20,3.20,0.00,3.57
